product_parent,,customer_id,product_parent,star_rating,helpful_votes,vine,verified_purchase,total_votes,review_headline,review_body,review_date,review_body_length,review_rating,reivew_star_rating,review_num,verified_purchase_num,CPS
423960,R1XW9ZY9FPWSH5,37151655,423960,5,0,N,True,0,Perfect Dryer!,"Perhaps it's strange coming from me, but I've purchased 2 of these and it's still my favorite blow dryer!<br />I used this dryer for more than 4 years and never had a problem.<br />I purchased a second one because I gave the first one to my fiance', who lives in Japan!<br />Her mom fell in love with it, didn't bring it to the States so I had to buy yet another ConAir blow dryer :).<br />But now she has my second one, and won't accept the ConAir Infiniti Pro I bought for her.<br />Too bad, because I miss my cordless action :(<br />But I can still blow dry my hair after taking the braids out, because this is by far the best dryer ever.",7/25/2015,641,5,5.0,68,68,23.53
4120409,RZIO5643UKP12,33693437,4120409,5,7,N,False,9,This is Awesome!,"I have curly African American 3C hair that is prone to breakage, tangling, brittleness and snapping. This makes my hair easily detangle, smells like gardenia flowers. It is a tan color with a creamy, buttery texture. It doesn't exactly make hair shine, but is great for a leave in conditioner and makes hair even curlier. I liked the price for the amount that you get of 7oz. It doesn't weigh hair down and is not oily. This is perfect for any ethnic hair type or wavy/curly hair for non-ethnic hair. When I put it on my hair I instantly noticed the difference. I love this and plan to buy it for as long as they make the product.",7/2/2011,630,5,5.0,1,0,100.0
12536427,RL54YSSWOIEA3,47792807,12536427,5,0,N,True,0,"Lovely scent, non-irritating","I'm really pleased with this product and hope the Dial in this scent will remain available for purchase over time. I use antibacterial liquid pump soap in both kitchen and bath, but prefer a non-medicinal and non-floral scent. The scent of this is very light and smells exactly like apples in the autumn, with just a light hint of spice in the background. The product lathers up very well, but rinses clean easily, leaving my hands soft and feeling healthy and refreshed, but not at all greasy like a moisturizer usually feels. The scent lingers only for a little while and does not make me feel like I am leaving it behind in foods I prepare after washing my hands. I've had guests over since I bought this soap and both times they commented on what a lovely scent it had when they washed their hands in the bathroom. This is my favorite so far in any of the types and scents available from standard brands of liquid antibacterial soaps in a pump container. I also love that I could buy in volume at a good price, so as to not run out suddently. I would recommend this product highly for those who prefer antibacterial liquid soaps, but aren't fond of flowery or medicinal scents.",3/11/2010,1181,5,5.0,1,1,100.0
14552349,R2OXZDOJ958B0D,12494971,14552349,5,3,N,True,4,A Great Product!,"I've been using henna hair dye for a few months now.  My hair feels so much healthier than when I used regular hair dye.  It's a bit messy using it, but you adjust and I am pleased with the final outcome!",8/5/2010,204,5,5.0,1,1,100.0
16483457,RIDHM8B7SCCV3,2282190,16483457,5,0,N,True,1,Five Stars,Love this dryer!,8/31/2015,16,5,5.0,73,60,53.42
16983648,R39XHCDTOK9ZBD,19058489,16983648,5,0,N,True,0,Excellent!!!,This stuff worked miracles on my callused feet and my cuticles. Along with being antimicrobial you can't miss with this product. Very little goes along way so it will last you.,1/9/2012,176,5,5.0,1,1,100.0
21033180,RCB6DANFMG2P1,35738904,21033180,5,166,N,True,189,Fabulous for Light Blonde Lashes!! A MUST HAVE!,"I have WHITE blonde eyelashes and eyebrows. I never leave home without mascara (yeah, okay, and a little lipgloss, too. I'm vain). I found so much FREEDOM in using this product!  I can now go to the water park, the pool, the beach, etc and actually have noticeable eyes without having to bother with waterproof mascara (that destroys your lashes anyway).    It was easy & fast to use -- start to finish, including clean up, it took maybe 10 minutes. If it's messy for you, you're using too much of the gel at one time. The trick is to make sure you use the 1st chemical several times and allow it to soak through the hair's cuticle. Once that's done, it's just a matter of barely touching your lashes with the colorant gel and presto! Dark lashes!      Ladies, it only COLORS your existing lashes, it doesn't make them longer or thicker.  If you take your time and apply it carefully, you can get it to go from the base to the tips of your lashes.  I colored my lashes about 3 weeks ago, and it's still going strong.  I'll probably do a touch up in another week or so. I'm very happy with this product. I wish I'd found it 20 years ago.  I can't imagine not having this in my beauty arsenal. Now that I've discovered it, I'll never be without it again.",8/5/2010,1252,5,5.0,1,1,100.0
26711891,R3IL7ENAGVGJ3I,47929663,26711891,5,0,N,True,0,A good replacement,Like this as well as the one I had before.,8/30/2015,42,5,5.0,67,63,41.79
30965255,R1CKVSYB4SCN8K,37107314,30965255,1,3,N,True,5,very poor design,"I ordered two of these and returned them immediately. The suction cups are placed too far apart and will not stay stuck on the tub when I place my head there. If this problem is rectified, it will be a good product. I have used pillows of this style for years with excellent results. These have a flaw in their design which renders them useless.",12/4/2010,345,1,1.0,1,1,-100.0
44138644,R1IIZ7UQLKBFE1,39696224,44138644,3,0,N,True,0,Sharper than it looks,"It does the job. I could use a bit longer razor, as it is a pretty small head. It's also a lot sharper than I thought it would be.",3/11/2010,130,4,4.0,1,1,0.0
44703144,R27D4R1X92321P,34048194,44703144,2,6,N,False,10,Minimal Results,"I used this product for  little over six months with less than stellar results. I am in my early 20s and have had lines around my eyes since I was 12 due to the way I smile. Even after nightly use for over six months, the lines around the corners of my eyes (that will one day be crows feet) are still very visible and  I have seen no reduction what so ever. I did have fain dark circles under my eyes that have faded slightly with the use of the product. To some up, I was expecting a lot more based on the price and the supposed research and engineering that went into development.     I will up and date as I still have some left, but don't waste your money this isn't a miracle formula.",8/5/2010,690,4,3.0,1,0,-100.0
45575190,RXWA3I0W6RC48,42549301,45575190,4,4,N,True,6,Works pretty good,"This cream works very nicely on my eyes. I mainly bought it because it has the copper peptides that everyone seems to be raving about. I see some improvements however, i think that with any skin care products you need to give it a few months to see true results.Also i noticed that this cream can irritate so make sure you put only a little. I went crazy putting on extra daily out of desperation lol and i felt a burning irritation around my eyes. Still a good cream but you may want to shop around to see what else is out there.",3/11/2010,530,4,4.0,1,1,0.0
46450049,R22HCO7LX1PANI,11358809,46450049,5,4,N,False,4,The Greatest Cleanser,There is no other cleanser that compares to this one.  Its worth the price. It leaves your face feeling clean and moisturized.  No dry feeling here.,7/2/2011,148,5,5.0,1,0,100.0
46677591,R16HLNUM75RN3A,25147482,46677591,5,2,N,True,3,Excellent Watch,"I purchased this watch for a legally blind, elderly friend of mine. The watch is just like the one Radio Shack use to sell. This watch is far superior to the new watch Radio Shack is selling. It can be heard loud and clear, and it is easy to use. I would recommend it for any one with vision problems.",8/5/2010,301,5,5.0,1,1,100.0
47684938,R3SS843K1CWOIY,15821693,47684938,5,0,N,True,0,Five Stars,Great dryer.,8/28/2015,12,5,5.0,535,510,30.28
50000317,ROGN37ZXC745T,31625101,50000317,5,0,N,True,0,Jingles Hair Spray,"I was extremely happy with the promptness of my order and delivery. (which was free) I am still waiting on my order I placed 3 weeks ago for the same product through BeautyDepot. Haire Supplies is a very professional business who will continue to have my business from now. Amazon is just great with whatever you order, they know who to do business with!",8/5/2010,354,5,5.0,1,1,100.0
54378879,R3NV5ODF5YEP6Y,27444956,54378879,5,1,N,True,1,Love it!!,"I had purchases matte polish previously so i know that it doesnt last as long, but its better than what other reviews are saying. I love the color and the matte finish is great! I have been wearing it for 4 days and no chips so far! You just have to put one thin coat on and it wont come of in huge flakes.",8/5/2010,306,5,5.0,1,1,100.0
54987170,RCSEI3UIDDIIG,50448386,54987170,1,1,N,True,1,Doesn't fit Conair Folding Handle 1875-Watt Dryer / Model 124TL,Took a chance but this does not fit the Conair Folding Handle 1875-Watt Dryer / Model 124TL. The search continues! (And now I'm stuck with this since I just missed the return window!),7/25/2015,183,1,1.0,22,21,-4.55
55520986,R1VMU3E0POKHOV,50203488,55520986,5,19,N,True,21,Wonderful Product,"I am verry happy with Body Time Spray-On Natural Body Moisturizer!    I was a faithful user of Nivea Spray-On Moisturizer for several years. Unfortunately, Nivea discontinued this product.    After an internet search, I located Body Time Spray-On Natural Body Moisturizer, and immediately ordered two bottles.     In my opinion Body Time is better than Nivea. I will continue to purchase this product, and I have recommended it to my girlfriends.    Renate Wagner",8/5/2010,463,5,5.0,1,1,100.0
57056668,R19QC4I6XAFVRT,13327551,57056668,4,0,N,True,0,Four Stars,So far so good,8/24/2015,14,5,5.0,53,52,39.62
61225676,RG63ZQ8WIEOP,15035781,61225676,3,2,N,False,3,"Darker than expected, but still nice","From the bottle and the rave reviews I expected a nice deep purple/maroon color, but the polish is thin, so unless you can get it on perfectly you need more coats, and this causes it to be extremely dark. It's still nice, but I feel like I have black nail polish on. In low light it even seems like it is black. I don't love it as much as some people must, because I don't think I would buy this again.",2/26/2011,402,4,4.0,1,0,0.0
62808517,R1KUELUW6QPWBJ,42016656,62808517,4,1,N,False,1,Wonderful Item,I have been using this floss for the past 3 years. I've never thought of switching to a different type of floss ever since.,8/5/2010,123,5,5.0,1,0,100.0
64142513,R1JZKNW4NQDE79,26552624,64142513,5,0,N,True,0,Exellent Product Difficult Shipping,"The product was exactly what we expected; excellent.  The arrangement for receiving the product was much more difficult as amazon.com would not ship this product, only available in the US, to Canada.",1/9/2012,199,4,4.0,1,1,0.0
66014174,RUUBAHYZDYNOC,33273264,66014174,4,14,N,False,22,Great product for the price,"It's o much better than lotion!!!! I've been using lotions and going to tanning beds for a while, I decided to try this just because it was on sale and it turned out to be great!!! YOU HAVE TO FOLLOW DIRECTIONS to get expected results... and everytime you apply it you get better at it. I like to apply it right after a shower (use lotion before applying). Great natural color, dries quick, no weird smell, doesn't turn pamls orange, doesn't tranfer to clothes",4/14/2007,460,2,3.0,1,0,-100.0
66259499,RIGRO8YAV5XL6,22818653,66259499,5,1,N,True,1,Get the salon feel at home with the Hot Tools Tourmaline Standing Hair Dryer,"My purchase of the Hot Tools Tourmaline Ionic Standing Hair Dryer was a great investment. I love the purple and black color. It has two heat settings, high and low. Two speed settings, high and low, and it has an on/off ionic knob. It has an adjustable pole which is great when you have more than one person using it. It also has wheels so it is easy for me to roll it around the house. This is much better that the hooded dryer that I had to sit on the table and find a chair low enough so I could fit under the hood. I use my dryer on a weekly basis. The hood is very roomy and has a flip up front. I can dry my hair with large rollers with no problem. Now I can get the salon feel of the hair dryer at home.",8/22/2015,710,5,5.0,28,24,21.43
66279275,R22YQOHOAOD04J,14797659,66279275,5,4,N,True,4,Amazing flat iron !,This flat iron is hands down the BEST I have ever owned.  Works fantastic and gets my hair pin straight !,12/4/2010,105,5,5.0,1,1,100.0
