product_parent,,customer_id,product_parent,star_rating,helpful_votes,vine,verified_purchase,total_votes,review_headline,review_body,review_date,review_rating,reivew_star_rating,review_num,verified_purchase_num,CPS
1439995,rotcwr44tskfr,15443632,1439995,4,4,n,True,4,big bed in a small box,the entire bed came in one small box which was surprising. all of the pieces were there and the directions were easy to follow.  the most difficult part was trying to keep the slats in place while i secured the other side of the bed. other than that the bed is wonderful and my 2 year old daughter loves it.,3/13/2015,5,5.0,1,1,100.0
1448183,r3g5fh6ynwg4ey,45346225,1448183,5,1,n,True,1,i was very happy to see that they are organic and the bamboo ...,"these are very soft. i was very happy to see that they are organic and the bamboo is from a sustainable forest. it said exfoliation so i was nervous about them being scratchy but they weren't at all. i was very pleased to use these on my baby, on my big kids and even on my self for washing my face. they have cute designs on them that could be given for a boy or a girl if you were looking for a shower gift or if you didn't know the sex. very nice.<br />i did receive these for free or a reduced price in exchange for my honest review as seen above.",3/31/2015,5,5.0,1,1,100.0
3729223,r18qg2wg1vfw1y,2050756,3729223,1,1,n,True,1,dryer sheets smell great in the box,"dryer sheets smell great in the box, but leave no smell at all on clothes. very disappointed and wish i didn't waste the money on 2 boxes. your regular brand name dryer sheets work better that's these expensive ones. don't waste your money.",3/17/2015,2,2.0,1,1,-100.0
3916839,r3t7jn2fcdb7sg,19533708,3916839,5,2,n,True,2,secure but comfortable,"the sleepy wrap is far more breathable and comfortable than most other baby carriers. the generous amount of stretchy fabric that envelops the baby gives boths the wearer and the baby more of a feeling of security. the sleepy wrap shapes to the baby's position, rather than the other way around. it's just a stylish, east to wear, comfy baby carrier !",8/10/2008,5,5.0,1,1,100.0
4792175,R2II8H0HX79AYO,28133352,4792175,5,0,N,True,0,Fun and sweet!,"Purchased for an added gift for the male boss as his wife is having baby!  Perfect gift that is cute, useful and funny!",7/2/2015,5,5.0,13,13,69.23
5747909,r2l5qe1ylgdjrn,23179446,5747909,5,6,n,True,6,perfect!,"i was looking everywhere for a water frog bath toy and this was perfect!  the frogs are made very durably, bright and cheery looking.  very adorable, very perfect.  little rings are perfect size for baby frogs to sit on in the water!  looks like a great pool/bath toy for the babies.",12/10/2009,4,4.0,1,1,0.0
5981131,r11ts1iz5v1xax,45972267,5981131,5,5,n,True,5,great bibs!  adorable for boys or girls!,"love these bibs!  the colors and patterns are great, and i love that there are two snaps, so they will continue to fit as my boy grows.  the backing is super soft, too!  i also like the longer, narrower look as opposed to the short, wide ones. just more fashionable i think. great for babies of all ages!!",12/23/2014,5,5.0,1,1,100.0
6784496,r34ofv6wrmtpkk,2025872,6784496,5,1,n,True,1,super bib,i have used several bibs on my son. however dibs on bibs is number one. its huge and the food/drink does not leak through bib. its number one in my book. thanks!!,11/13/2013,5,5.0,1,1,100.0
7090204,r2l8r9f9vkppc6,19361708,7090204,5,1,n,True,2,happy i waited,"i was going to purchase the rattania but when i saw that this was coming out, i decided to wait.  i'm so glad i did.  it looks great and is very easy to clean.  my little one is also very comfortable in it. great purchase!",4/14/2013,5,5.0,1,1,100.0
9868485,r22p6bf0ul3u5x,14643781,9868485,1,1,n,True,1,this is a total piece of junk. i've only ...,"this is a total piece of junk.  i've only used it for about 3-4 months and the red foam broke off.  in addition, the hook shimmies itself to the side of the handles of the stroller.  awful product and poorly designed.  i thought the heart was cute but it's so not cute when it comes to functionality.",5/9/2015,2,2.0,1,1,-100.0
